Name,Party,Position,Jurisdiction,OpenFEC ID,District,Incumbent,Status,Race Active,Election Year,Term Start,Term End
Cynthia Lummis,Republican,Senate,Wyoming,S0WY00137,,false,Won General,false,2020,2021,2027
Cindy Hyde-Smith,Republican,Senate,Mississippi,S8MS00261,,false,Won General,false,2020,2021,2027
Josh Hawley,Republican,Senate,Missouri,S8MO00160,,false,Won General,false,2018,2019,2025
Markwayne Mullin,Republican,Senate,Oklahoma,S2OK00186,,false,Won General,false,2020,2021,2027
Roger Marshall,Republican,Senate,Kansas,S0KS00315,,false,Won General,false,2020,2021,2027
Tommy Tuberville,Republican,Senate,Alabama,S0AL00230,,false,Won General,false,2020,2021,2027
Rick Scott,Republican,Senate,Florida,S8FL00273,,false,Won General,false,2018,2019,2025
Ted Cruz,Republican,Senate,Texas,S2TX00312,,false,Won General,false,2018,2019,2025
Ted Budd,Republican,Senate,North Carolina,S2NC00505,,true,Won General,false,2022,2023,2029
John Kennedy,Republican,Senate,Louisiana,S4LA00065,,true,Won General,false,2022,2023,2029
Harriet Hageman,Republican,House,Wyoming,H2WY00166,,false,Won General,false,2022,2023,2025
Marsha Blackburn,Republican,Senate,Tennessee,S8TN00337,,false,Won General,false,2018,2019,2025
Mike Braun,Republican,Senate,Indiana,S8IN00171,,false,Won General,false,2018,2019,2025
Steve Daines,Republican,Senate,Montana,S2MT00096,,false,Won General,false,2020,2021,2027
Rand Paul,Republican,Senate,Kentucky,S0KY00156,,true,Won General,false,2022,2023,2029
James Lankford,Republican,Senate,Oklahoma,S4OK00232,,false,Won General,false,2022,2023,2029
Bill Hagerty,Republican,Senate,Tennessee,S0TN00169,,false,Won General,false,2020,2021,2027
Eric Schmitt,Republican,Senate,Missouri,S2MO00544,,false,Won General,false,2022,2023,2029
Katie Britt,Republican,Senate,Alabama,S2AL00145,,false,Won General,false,2022,2023,2029
Ron Johnson,Republican,Senate,Wisconsin,S0WI00197,,true,Won General,false,2022,2023,2029
J.D. Vance,Republican,Senate,Ohio,S2OH00436,,false,Won General,false,2022,2023,2025
Mark Coester,Republican,House,Vermont,H4VT01056,,false,Lost General,false,2024,2025,2027
Josh Hawley,Republican,Senate,Missouri,S8MO00160,,true,Won General,false,2024,2025,2031
Harriet Hageman,Republican,House,Wyoming,H2WY00166,,true,Won General,false,2024,2025,2027
Kari Lake,Republican,Senate,Arizona,S4AZ00220,,false,Lost General,false,2024,2025,2031
Rick Scott,Republican,Senate,Florida,S8FL00273,,true,Won General,false,2024,2025,2031
Jim Banks,Republican,Senate,Indiana,S4IN00196,,false,Won General,false,2024,2025,2031
Marsha Blackburn,Republican,Senate,Tennessee,S8TN00337,,true,Won General,false,2024,2025,2031
Bernie Moreno,Republican,Senate,Ohio,S4OH00192,,false,Won General,false,2024,2025,2031
Alex Mooney,Republican,Senate,West Virginia,S4WV00324,,false,Lost Primary,false,2024,2025,2031
Ted Cruz,Republican,Senate,Texas,S2TX00312,,true,Won General,false,2024,2025,2031
Carol Miller,Republican,House,West Virginia,H8WV03097,1,true,Won General,false,2022,2023,2025
Steve Scalise,Republican,House,Louisiana,H0LA01087,1,true,Won General,false,2022,2023,2025
Jack Bergman,Republican,House,Michigan,H6MI01226,1,true,Won General,false,2022,2023,2025
Jerry Carl,Republican,House,Alabama,H0AL01055,1,true,Won General,false,2022,2023,2025
Eric Crawford,Republican,House,Arkansas,H0AR01083,1,true,Won General,false,2022,2023,2025
Kevin Hern,Republican,House,Oklahoma,H8OK01157,1,true,Won General,false,2022,2023,2025
Russ Fulcher,Republican,House,Idaho,H8ID01124,1,true,Won General,false,2022,2023,2025
Matt Gaetz,Republican,House,Florida,H6FL01119,1,true,Won General,false,2022,2023,2024
Robert Wittman,Republican,House,Virginia,H8VA01147,1,true,Won General,false,2022,2023,2025
Andy Harris,Republican,House,Maryland,H8MD01094,1,true,Won General,false,2022,2023,2025
David Schweikert,Republican,House,Arizona,H4AZ06045,1,true,Won General,false,2022,2023,2025
Doug LaMalfa,Republican,House,California,H2CA02142,1,true,Won General,false,2022,2023,2025
Tracey Mann,Republican,House,Kansas,H0KS01123,1,true,Won General,false,2022,2023,2025
Trent Kelly,Republican,House,Mississippi,H6MS01131,1,true,Won General,false,2022,2023,2025
Buddy Carter,Republican,House,Georgia,H4GA01039,1,true,Won General,false,2022,2023,2025
Diana Harshbarger,Republican,House,Tennessee,H0TN01118,1,true,Won General,false,2022,2023,2025
Ryan Zinke,Republican,House,Montana,H4MT01041,1,false,Won General,false,2022,2023,2025
Eric Crawford,Republican,House,Arkansas,H0AR01083,1,true,Won General,false,2024,2025,2027
David Schweikert,Republican,House,Arizona,H4AZ06045,1,true,Won General,false,2024,2025,2027
Jerry Carl,Republican,House,Alabama,H0AL01055,1,true,Lost Primary,false,2024,2025,2027
Barry Moore,Republican,House,Alabama,H8AL02171,1,false,Won General,false,2024,2025,2027
Doug LaMalfa,Republican,House,California,H2CA02142,1,true,Won General,false,2024,2025,2027
Matt Gaetz,Republican,House,Florida,H6FL01119,1,true,Won General,false,2024,2025,2025
Buddy Carter,Republican,House,Georgia,H4GA01039,1,true,Won General,false,2024,2025,2027
Marcus Lewis,Republican,House,Illinois,H8IL02104,1,false,Lost General,false,2024,2025,2027
Russ Fulcher,Republican,House,Idaho,H8ID01124,1,true,Won General,false,2024,2025,2027
Steve Scalise,Republican,House,Louisiana,H0LA01087,1,true,Won General,false,2024,2025,2027
Randall Arrington,Republican,House,Louisiana,,1,false,Lost General,false,2024,2025,2027
Tracey Mann,Republican,House,Kansas,H0KS01123,1,true,Won General,false,2024,2025,2027
Andy Harris,Republican,House,Maryland,H8MD01094,1,true,Won General,false,2024,2025,2027
Jack Bergman,Republican,House,Michigan,H6MI01226,1,true,Won General,false,2024,2025,2027
Trent Kelly,Republican,House,Mississippi,H6MS01131,1,true,Won General,false,2024,2025,2027
Ryan Zinke,Republican,House,Montana,H4MT01041,1,true,Won General,false,2024,2025,2027
Kevin Hern,Republican,House,Oklahoma,H8OK01157,1,true,Won General,false,2024,2025,2027
Bob Todd,Republican,House,Oregon,H4OR01147,1,false,Lost General,false,2024,2025,2027
Diana Harshbarger,Republican,House,Tennessee,H0TN01118,1,true,Won General,false,2024,2025,2027
Robert Wittman,Republican,House,Virginia,H8VA01147,1,true,Won General,false,2024,2025,2027
Carol Miller,Republican,House,West Virginia,H8WV03097,1,true,Won General,false,2024,2025,2027
Neal Dunn,Republican,House,Florida,H6FL02208,2,true,Won General,false,2022,2023,2025
Matt Rosendale,Republican,House,Montana,H4MT00050,2,true,Won General,false,2022,2023,2025
Jake LaTurner,Republican,House,Kansas,H0KS02188,2,true,Won General,false,2022,2023,2025
Tim Burchett,Republican,House,Tennessee,H8TN02119,2,true,Won General,false,2022,2023,2025
Alex Mooney,Republican,House,West Virginia,S4WV00324,2,true,Won General,false,2022,2023,2025
Mike Simpson,Republican,House,Idaho,H8ID02064,2,true,Won General,false,2022,2023,2025
Dan Crenshaw,Republican,House,Texas,H8TX02166,2,true,Won General,false,2022,2023,2025
Joe Wilson,Republican,House,South Carolina,H2SC02059,2,true,Won General,false,2022,2023,2025
Ann Wagner,Republican,House,Missouri,H2MO02102,2,true,Won General,false,2022,2023,2025
Barry Moore,Republican,House,Alabama,H8AL02171,2,true,Won General,false,2022,2023,2025
Jeff Van Drew,Republican,House,New Jersey,H8NJ02166,2,true,Won General,false,2022,2023,2025
Brad Wenstrup,Republican,House,Ohio,H2OH02085,2,true,Won General,false,2022,2023,2025
Cliff Bentz,Republican,House,Oregon,H0OR02127,2,true,Won General,false,2022,2023,2025
John Moolenaar,Republican,House,Michigan,H4MI04126,2,true,Won General,false,2022,2023,2025
Jen Kiggans,Republican,House,Virginia,H2VA02064,2,false,Won General,false,2022,2023,2025
Eli Crane,Republican,House,Arizona,H2AZ01354,2,false,Won General,false,2022,2023,2025
Eli Crane,Republican,House,Arizona,H2AZ01354,2,true,Won General,false,2024,2025,2027
Neal Dunn,Republican,House,Florida,H6FL02208,2,true,Won General,false,2024,2025,2027
Wayne Johnson,Republican,House,Georgia,H2GA02163,2,false,Lost General,false,2024,2025,2027
Mike Simpson,Republican,House,Idaho,H8ID02064,2,true,Won General,false,2024,2025,2027
Jake LaTurner,Republican,House,Kansas,H0KS02188,2,true,Dropped Out,false,2024,2025,2027
John Moolenaar,Republican,House,Michigan,H4MI04126,2,true,Won General,false,2024,2025,2027
Ann Wagner,Republican,House,Missouri,H2MO02102,2,true,Won General,false,2024,2025,2027
Jeff Van Drew,Republican,House,New Jersey,H8NJ02166,2,true,Won General,false,2024,2025,2027
Matt Rosendale,Republican,House,Montana,H4MT00050,2,true,Lost Primary,false,2024,2025,2027
Yvette Herrell,Republican,House,New Mexico,H8NM02156,2,false,Lost General,false,2024,2025,2027
Cliff Bentz,Republican,House,Oregon,H0OR02127,2,true,Won General,false,2024,2025,2027
Joe Wilson,Republican,House,South Carolina,H2SC02059,2,true,Won General,false,2024,2025,2027
Aaron Bashir,Republican,House,Pennsylvania,H4PA02069,2,false,Lost General,false,2024,2025,2027
Tim Burchett,Republican,House,Tennessee,H8TN02119,2,true,Won General,false,2024,2025,2027
Dan Crenshaw,Republican,House,Texas,H8TX02166,2,true,Won General,false,2024,2025,2027
Jen Kiggans,Republican,House,Virginia,H2VA02064,2,true,Won General,false,2024,2025,2027
Cody Hart,Republican,House,Washington,H0WA02221,2,false,Lost General,false,2024,2025,2027
Blaine Luetkemeyer,Republican,House,Missouri,H8MO09153,3,true,Won General,false,2022,2023,2025
Michael Guest,Republican,House,Mississippi,H8MS03125,3,true,Won General,false,2022,2023,2025
Mike Rogers,Republican,House,Alabama,H2AL03032,3,true,Won General,false,2022,2023,2025
Adrian Smith,Republican,House,Nebraska,H6NE03115,3,true,Won General,false,2022,2023,2025
Chuck Fleischmann,Republican,House,Tennessee,H0TN03254,3,true,Won General,false,2022,2023,2025
Frank Lucas,Republican,House,Oklahoma,H4OK06056,3,true,Won General,false,2022,2023,2025
Jim Banks,Republican,House,Indiana,H6IN03229,3,true,Won General,false,2022,2023,2025
Drew Ferguson,Republican,House,Georgia,H6GA03113,3,true,Won General,false,2022,2023,2025
Greg Murphy,Republican,House,North Carolina,H0NC03172,3,true,Won General,false,2022,2023,2025
Kat Cammack,Republican,House,Florida,H0FL03175,3,true,Won General,false,2022,2023,2025
Clay Higgins,Republican,House,Louisiana,H6LA03148,3,true,Won General,false,2022,2023,2025
Lauren Boebert,Republican,House,Colorado,H0CO03165,3,true,Won General,false,2022,2023,2025
Jeff Duncan,Republican,House,South Carolina,H0SC03077,3,true,Won General,false,2022,2023,2025
Derrick Van Orden,Republican,House,Wisconsin,H0WI03175,3,false,Won General,false,2022,2023,2025
Keith Self,Republican,House,Texas,H2TX03290,3,false,Won General,false,2022,2023,2025
Mike Rogers,Republican,House,Alabama,H2AL03032,3,true,Won General,false,2024,2025,2027
Jeff Zink,Republican,House,Arizona,H2AZ07187,3,false,Lost General,false,2024,2025,2027
Kat Cammack,Republican,House,Florida,H0FL03175,3,true,Won General,false,2024,2025,2027
Clay Higgins,Republican,House,Louisiana,H6LA03148,3,true,Won General,false,2024,2025,2027
John Booras,Republican,House,Illinois,H4IL03101,3,false,Lost General,false,2024,2025,2027
Blaine Luetkemeyer,Republican,House,Missouri,H8MO09153,3,true,Dropped Out,false,2024,2025,2027
Michael Guest,Republican,House,Mississippi,H8MS03125,3,true,Won General,false,2024,2025,2027
Adrian Smith,Republican,House,Nebraska,H6NE03115,3,true,Won General,false,2024,2025,2027
Greg Murphy,Republican,House,North Carolina,H0NC03172,3,true,Won General,false,2024,2025,2027
Joanna Harbour,Republican,House,Oregon,H0OR03174,3,false,Lost General,false,2024,2025,2027
Frank Lucas,Republican,House,Oklahoma,H4OK06056,3,true,Won General,false,2024,2025,2027
Jeff Duncan,Republican,House,South Carolina,H0SC03077,3,true,Dropped Out,false,2024,2025,2027
Chuck Fleischmann,Republican,House,Tennessee,H0TN03254,3,true,Won General,false,2024,2025,2027
Keith Self,Republican,House,Texas,H2TX03290,3,true,Won General,false,2024,2025,2027
Derrick Van Orden,Republican,House,Wisconsin,H0WI03175,3,true,Won General,false,2024,2025,2027
Joe Kent,Republican,House,Washington,H2WA03100,3,false,Lost General,false,2024,2025,2027
Ken Buck,Republican,House,Colorado,H4CO04090,4,true,Won General,false,2022,2023,2025
William Timmons,Republican,House,South Carolina,H8SC04250,4,true,Won General,false,2022,2023,2025
Mike Johnson,Republican,House,Louisiana,H6LA04138,4,true,Won General,false,2022,2023,2025
Bill Huizenga,Republican,House,Michigan,H0MI02094,4,true,Won General,false,2022,2023,2025
Dan Newhouse,Republican,House,Washington,H4WA04104,4,true,Won General,false,2022,2023,2025
Tom Cole,Republican,House,Oklahoma,H2OK04055,4,true,Won General,false,2022,2023,2025
Jim Jordan,Republican,House,Ohio,H6OH04082,4,true,Won General,false,2022,2023,2025
Ron Estes,Republican,House,Kansas,H8KS04112,4,true,Won General,false,2022,2023,2025
Burgess Owens,Republican,House,Utah,H0UT04076,4,true,Won General,false,2022,2023,2025
Jim Baird,Republican,House,Indiana,H8IN04199,4,true,Won General,false,2022,2023,2025
Pat Fallon,Republican,House,Texas,H0TX04219,4,true,Won General,false,2022,2023,2025
Scott DesJarlais,Republican,House,Tennessee,H0TN04195,4,true,Won General,false,2022,2023,2025
Bruce Westerman,Republican,House,Arkansas,H4AR04048,4,true,Won General,false,2022,2023,2025
Robert Aderholt,Republican,House,Alabama,H6AL04098,4,true,Won General,false,2022,2023,2025
Mark Alford,Republican,House,Missouri,H2MO04207,4,false,Won General,false,2022,2023,2025
Robert Aderholt,Republican,House,Alabama,H6AL04098,4,true,Won General,false,2024,2025,2027
Bruce Westerman,Republican,House,Arkansas,H4AR04048,4,true,Won General,false,2024,2025,2027
Kelly Cooper,Republican,House,Arizona,H2AZ09191,4,false,Lost General,false,2024,2025,2027
Lauren Boebert,Republican,House,Colorado,H0CO03165,4,false,Won General,false,2024,2025,2027
Joshua Morott,Republican,House,Louisiana,H4LA04034,4,false,Lost General,false,2024,2025,2027
Jim Baird,Republican,House,Indiana,H8IN04199,4,true,Won General,false,2024,2025,2027
Ron Estes,Republican,House,Kansas,H8KS04112,4,true,Won General,false,2024,2025,2027
Mike Johnson,Republican,House,Louisiana,H6LA04138,4,true,Won General,false,2024,2025,2027
Bill Huizenga,Republican,House,Michigan,H0MI02094,4,true,Won General,false,2024,2025,2027
Mark Alford,Republican,House,Missouri,H2MO04207,4,true,Won General,false,2024,2025,2027
John Lee,Republican,House,Nevada,H4NV04116,4,false,Lost General,false,2024,2025,2027
Jim Jordan,Republican,House,Ohio,H6OH04082,4,true,Won General,false,2024,2025,2027
Tom Cole,Republican,House,Oklahoma,H2OK04055,4,true,Won General,false,2024,2025,2027
William Timmons,Republican,House,South Carolina,H8SC04250,4,true,Won General,false,2024,2025,2027
Scott DesJarlais,Republican,House,Tennessee,H0TN04195,4,true,Won General,false,2024,2025,2027
Pat Fallon,Republican,House,Texas,H0TX04219,4,true,Won General,false,2024,2025,2027
Burgess Owens,Republican,House,Utah,H0UT04076,4,true,Won General,false,2024,2025,2027
Dan Newhouse,Republican,House,Washington,H4WA04104,4,true,Won General,false,2024,2025,2027
Jerrod Sessler,Republican,House,Washington,H2WA04165,4,false,Lost General,false,2024,2025,2027
Scott Fitzgerald,Republican,House,Wisconsin,H0WI05113,5,true,Won General,false,2022,2023,2025
Ralph Norman,Republican,House,South Carolina,H8SC05158,5,true,Won General,false,2022,2023,2025
Doug Lamborn,Republican,House,Colorado,H6CO05159,5,true,Won General,false,2022,2023,2025
Andy Biggs,Republican,House,Arizona,H6AZ05083,5,true,Won General,false,2022,2023,2025
Virginia Foxx,Republican,House,North Carolina,H4NC05146,5,true,Won General,false,2022,2023,2025
Bob Latta,Republican,House,Ohio,H8OH05036,5,true,Won General,false,2022,2023,2025
Lance Gooden,Republican,House,Texas,H8TX05144,5,true,Won General,false,2022,2023,2025
Bob Good,Republican,House,Virginia,H0VA05160,5,true,Won General,false,2022,2023,2025
John Rutherford,Republican,House,Florida,H6FL04105,5,true,Won General,false,2022,2023,2025
Stephanie Bice,Republican,House,Oklahoma,H0OK05205,5,true,Won General,false,2022,2023,2025
Tom McClintock,Republican,House,California,H8CA04152,5,true,Won General,false,2022,2023,2025
Harold Rogers,Republican,House,Kentucky,H0KY05015,5,true,Won General,false,2022,2023,2025
Tim Walberg,Republican,House,Michigan,H4MI07103,5,true,Won General,false,2022,2023,2025
Dale Strong,Republican,House,Alabama,H2AL05102,5,false,Won General,false,2022,2023,2025
Cathy Rodgers,Republican,House,Washington,H4WA05077,5,true,Won General,false,2022,2023,2025
Andy Ogles,Republican,House,Tennessee,H2TN05446,5,false,Won General,false,2022,2023,2025
Andy Biggs,Republican,House,Arizona,H6AZ05083,5,true,Won General,false,2024,2025,2027
Dale Strong,Republican,House,Alabama,H2AL05102,5,true,Won General,false,2024,2025,2027
Tom McClintock,Republican,House,California,H8CA04152,5,true,Won General,false,2024,2025,2027
John Rutherford,Republican,House,Florida,H6FL04105,5,true,Won General,false,2024,2025,2027
Harold Rogers,Republican,House,Kentucky,H0KY05015,5,true,Won General,false,2024,2025,2027
Tim Walberg,Republican,House,Michigan,H4MI07103,5,true,Won General,false,2024,2025,2027
Bob Latta,Republican,House,Ohio,H8OH05036,5,true,Won General,false,2024,2025,2027
Virginia Foxx,Republican,House,North Carolina,H4NC05146,5,true,Won General,false,2024,2025,2027
